id,status,date,topic,decision,rationale,source_path
ADR-0011,Accepted,2026-09-23,Supervisor เห็นเฉพาะ Traffic ที่ผ่าน flowz,"- Scope ถูกจำกัดโดยข้อเท็จจริงทางเทคนิค: - เห็นได้: MCP calls ที่ผ่าน flowz, worker ที่ flowz spawn, cron dispatch ของ flowz - ไม่เห็น: main agent rea...","Supervisor ไม่สามารถเห็น main agent reasoning, tool call ที่ไม่ผ่าน flowz, หรือ transcript ทั้งหมด",docs/decisions/0011-supervisor-scope-flowz-only.md
ADR-0012,Accepted,2026-09-23,Skills เขียนหลัง Implementation เสร็จ,- skills/ เป็น phase สุดท้าย ของการพัฒนา - เขียนหลัง API freeze - ห้ามเขียน skill ก่อน implementation เสร็จ - Skill เป็น documentation layer ที่สะท้อน...,Skill ถูกเขียนด้วยภาษาธรรมชาติ และต้องอ้างชื่อ tool/command จริง ถ้าเขียนก่อน implementation จะได้ชื่อสมมติที่ไม่มีอยู่จริง,docs/decisions/0012-skills-after-implementation.md
ADR-0013,Accepted,2026-09-23,Skills อ้างชื่อจริงเท่านั้น — ห้าม Generic,"- Skill ต้องอ้าง ชื่อจริง: - MCP: flowz_cron_create, flowz_workflow_run - CLI: flowz cron create, flowz workflow run - ห้ามอ้าง generic concept เช่น c...","ถ้า skill เขียนว่า ""ใช้ cron"" โดยไม่ระบุชื่อเฉพาะ agent อาจไปหยิบ system cron หรือ cron ของ tool อื่นมาใช้โดยปริยาย",docs/decisions/0013-skills-use-real-names.md
ADR-0014,Accepted,2026-09-23,Prompts แยกตาม Mode,"- Prompt registry แยกตาม mode: - Workflow prompts: flowz_workflow_compose, flowz_workflow_worker_prompt, flowz_workflow_reducer_prompt - Subagent prom...",Cron prompt และ subagent prompt มีเนื้อหาต่างกัน ถ้ารวมไว้ prompt จะยาวและปนกัน ทำให้ context window เปลืองและสับสน,docs/decisions/0014-prompts-separate-by-mode.md
ADR-0015,Accepted,2026-09-23,ลำดับ Implementation 7 Phase (Original),ลำดับที่ล็อกไว้: text Step 1: TimeBudget + worker timeout Step 2: Cron subsystem (model + store + tools + CLI) Step 3: Mode-specific prompts Step 4: E...,ลำดับการพัฒนามีผลต่อการ refactor ถ้าทำผิดลำดับจะต้องรื้อ,docs/decisions/0015-implementation-order-original.md
ADR-0016,Accepted,2026-09-23,Context Compression เป็น Required Component,- ContextCompressor เป็น trait ที่ workflow engine ต้องมี - ใช้ two-layer compression: - Preflight compression: ที่ 50% ของ context window (configurab...,Workflow ที่มีหลาย items ที่สะสมผลลัพธ์จะทำให้ context window เต็ม Hermes แก้ปัญหานี้ด้วย dual compression system ที่ทำงานที่ 50% threshold และ micro-...,docs/decisions/0016-context-compression-required.md
ADR-0017,Accepted,2026-09-23,Toolsets สำหรับ Grouping ตาม Mode,- จัดกลุ่ม tools เป็น toolsets: - workflow_toolset: flowz_workflow_ - cron_toolset: flowz_cron_ - subagent_toolset: flowz_subagent_ - supervisor_tools...,การโหลด tool schemas ทั้งหมดเข้า context window ทุกครั้งทำให้เปลือง token โดยไม่จำเป็น Hermes แก้ปัญหานี้ด้วย toolsets (28 toolsets สำหรับ 70+ tools),docs/decisions/0017-toolsets-by-mode.md
ADR-0018,Accepted,2026-09-23,Live Orchestration สำหรับ Subagent,- เพิ่ม action parameter ใน flowz_subagent_delegate: - spawn: spawn new subagent(s) - list: list active subagents - steer: steer running subagent - st...,flowz_subagent_delegate แบบ synchronous ไม่สามารถ list/steer/stop subagents ที่กำลัง run อยู่ได้ Hermes มี live orchestration ผ่าน delegate_task(actio...,docs/decisions/0018-live-orchestration-subagent.md
ADR-0019,Accepted,2026-09-23,Role Distinction สำหรับ Subagent,- WorkflowItem ต้องมี role: SubagentRole - SubagentRole มีสองค่า: - Leaf: ไม่สามารถ spawn subagents - Orchestrator: สามารถ spawn subagents ผ่าน flowz_...,Hermes แยก leaf subagents (ไม่มี delegate_task) กับ orchestrator subagents (มี delegate_task) เพื่อป้องกัน recursive delegation ที่ไม่ตั้งใจ,docs/decisions/0019-subagent-role-distinction.md
ADR-0020,Accepted,2026-09-23,Wall-Clock Run Budget,- เพิ่ม RunBudget ที่ระดับ workflow: - max_wall_clock_seconds: จำกัดเวลาจริง - max_total_agent_calls: จำกัดจำนวน agent calls ทั้งหมด - enable_pressure...,Hermes มี wall-clock run budget แยกจาก iteration budget สำหรับจำกัดเวลาจริงของการ run ทั้งหมด,docs/decisions/0020-wall-clock-run-budget.md
ADR-0021,Accepted,2026-09-23,Self-Registering Tool Registry,- แต่ละ tool เป็น self-contained module - Register ตัวเองที่ import time ผ่าน register(registry: &mut ToolRegistry) - Registry จัดการ: - Schema collec...,"Hermes ใช้ declarative tool registration + centralized dispatch โดยแต่ละ tool file register ตัวเองที่ import time Registry จัดการ schema collection, d...",docs/decisions/0021-self-registering-tool-registry.md
ADR-0022,Accepted,2026-09-23,ลำดับ Implementation ที่ปรับปรุงแล้ว (10 Phase),ลำดับที่ปรับปรุงแล้ว: text Phase 0: Repo audit + freeze API names + freeze cron format Phase 1: InvocationContext + Service layer + Self-registering T...,การวิเคราะห์ Hermes Agent เผยว่าต้องเพิ่มกลไกสำคัญที่ขาดไป ทำให้ลำดับเดิม (ADR-0015) ต้องปรับปรุง,docs/decisions/0022-implementation-order-updated.md
ADR-0023,Accepted,2026-09-23,Markdown-first Definition Authoring,Definitions ของ cron และ (ตามแผน) workflow และ subagent ที่รองรับ adapter ให้มนุษย์เขียนเป็น Markdown โดยใช้ YAML frontmatter สำหรับ structured metada...,,docs/decisions/0023-markdown-first-definition-authoring.md
ADR-0024,Accepted,2026-09-23,Definition Source Tracking,"ทุก runtime definition ต้องรู้แหล่งที่มาใน DefinitionSource: Markdown { path }, Api หรือ Import { from }. ข้อมูลนี้ใช้สำหรับ debug, audit, orphan dete...",,docs/decisions/0024-definition-source-tracking.md
ADR-0025,Accepted,2026-09-23,Adapter เป็น Layer แยกจาก Core Domain,"Adapter อยู่ใน src/adapter/ และแปลง Markdown, external formats และ API inputs เป็น core domain models รวมถึงแปลง domain กลับเป็น external formats เมื่...",,docs/decisions/0025-adapter-as-separate-layer.md
ADR-0026,Accepted,2026-09-23,Hermes Profile Format เป็น Hub Format,Profile format ใช้ Hermes format เป็นฐาน: yaml  distribution.yaml name: string  required version: semver  required description: string  required herme...,Flowz ต้องรองรับ distribution ของ agent (personality + skills + cron + MCP + config) ให้ผู้ใช้ติดตั้งได้จาก git repo เดียว และ update ได้โดยไม่ทำลาย u...,docs/decisions/0026-hermes-profile-format-hub.md
ADR-0027,Accepted,2026-09-23,Client Interop ผ่าน Adapter Layer,"Adapter อยู่ src/adapter/ แยกจาก core domain rust pub trait ImportAdapter: Send + Sync { fn kind(&self) -> ClientKind; fn can_import(&self, path: &Pat...",,docs/decisions/0027-client-interop-adapter-layer.md
ADR-0028,Accepted,2026-09-23,Remote Execution ผ่าน Backend Layer,"แยก ""จะรันอะไร"" (WorkerSpec) ออกจาก ""รันที่ไหน"" (ExecutionBackend) rust [async_trait] pub trait ExecutionBackend: Send + Sync { fn id(&self) -> Backen...",,docs/decisions/0028-remote-execution-backend-layer.md
ADR-0029,Accepted,2026-09-23,Zero-Config Discovery,Discovery รันอัตโนมัติ: - ครั้งแรกหลัง install - หลัง install profile ใหม่ - Background (24h interval) - เมื่อ credential เปลี่ยน - เมื่อ backend ล่ม,"ผู้ใช้ไม่ควรต้องมานั่งคอนฟิก backend, หาพาร์ท agent, หรือตั้งค่า provider เองในครั้งแรก ระบบควรสำรวจและตัดสินใจระดับความสามารถ (capabilities) เองทั้งห...",docs/decisions/0029-zero-config-discovery.md
ADR-0030,Accepted,2026-09-23,Learning Cron (HarnessBank Pattern),"Cron 1: flowz-learning-cron — รันทุกวัน 03:00 (Asia/Bangkok), misfire: RunOnce ทำงานตาม 7 steps: 1. Collect — trajectories 24h ล่าสุด (min 26) 2. Diag...",HarnessBank (arXiv 2607.13683) พิสูจน์ว่า task agent และ evolver agent ต้องแยกกัน และต้องมี statistical rigor ในการ admit patch,docs/decisions/0030-learning-cron-harnessbank.md
ADR-0031,Accepted,2026-09-23,Skill-Reuse Cron (Success → Skill),"Cron 2: flowz-skill-reuse-cron — รันทุกวัน 04:00 (Asia/Bangkok), misfire: RunOnce ทำงานตาม 5 steps: 1. Collect Successes — trajectory ที่ system_succe...",ขั้นตอนที่ agent ทำสำเร็จซ้ำๆ ควรแปลงเป็น Skill ที่นำกลับมาใช้ใหม่ได้โดยอัตโนมัติ,docs/decisions/0031-skill-reuse-cron.md
ADR-0032,Accepted,2026-09-23,Model Tier Separation (Task < Evolver),- Task Agent ใช้ tier ปกติของผู้ใช้ - Evolver Agent ต้องใช้ tier >= Task tier + 1 - Discovery ตรวจ evolver tier - ถ้าไม่ผ่าน -> warn + ไม่รัน evolutio...,HarnessBank ใช้ Qwen3.6-27B เป็น task agent และ Claude Opus 4.8 เป็น evolver — evolver ต้อง tier สูงกว่าเพื่อป้องกัน self-evaluation bias,docs/decisions/0032-model-tier-separation.md
ADR-0033,Accepted,2026-09-23,Harness Gene Bank with Semantic Cells,"Gene Bank เก็บ harness ที่ผ่านการรับรองแล้ว ตาม semantic cells rust pub struct HarnessGeneBank { cells: HashMap<CellKey, PreservedHarness>, } pub stru...",การค้นหา harness patch สุ่มเสี่ยงที่จะเกิด search collapse หากไม่มีการจัดหมวดหมู่เชิงความหมาย,docs/decisions/0033-harness-gene-bank-semantic-cells.md
ADR-0034,Accepted,2026-09-23,Gated Harness Screening (4 Gates),"ทุก candidate patch ต้องผ่าน 4 gates ตามลำดับ: rust pub enum GateResult { Pass, RepairAndRetry { reason: String }, Reject { reason: String }, }  1. Ga...",Candidate patch ต้องผ่านการคัดกรองอย่างเข้มงวดเพื่อไม่ให้ยอมรับ stochastic noise,docs/decisions/0034-gated-harness-screening-4-gates.md
ADR-0035,Accepted,2026-09-23,Statistical Rigor,- Paired z-test ที่ลบ between-task difficulty - z >= 1.96 (two-sided 95% confidence) - sample_size >= 26 - Reproducibility >= 3 attempts per task - ไม...,การวัดผลด้วยสายตาหรือให้ LLM judge เองมักมี bias สูงและไม่เสถียร,docs/decisions/0035-statistical-rigor.md
ADR-0036,Accepted,2026-09-23,Cron Misfire Policy: RunOnce on Startup,สำหรับ learning cron และ skill-reuse cron: yaml misfire: run_once  Behavior: - เก็บ last_run_at ใน state store - ตรวจตอน startup: ถ้า now - last_run_a...,ถ้าเครื่องปิดตอนเวลา cron -> พลาด -> ต้องรันตอนเปิดครั้งถัดไป แต่ห้าม catch-up ทุก missed run เพื่อกันปัญหาเครื่องค้าง,docs/decisions/0036-cron-misfire-run-once.md
ADR-0037,Accepted,2026-09-23,Rollback + Versioning for Harness,"ทุก admitted patch -> version ใหม่ rust pub struct HarnessVersion { pub version: SemVer, pub created_at: DateTime<Utc>, pub parent: Option<SemVer>, pu...",หาก harness version ใหม่ออกอาการ regression ต้องสามารถถอยกลับได้ทันทีด้วยคำสั่งเดียว,docs/decisions/0037-rollback-versioning-harness.md
